ID Number,Name,Description,Store ,Price,Tags,Customizations
001,Tex Mex Bowl,Brown rice; avocado; corn; black beans; aged cheddar; salsa fresca; and greek yogurt ranch,Freshii,6.95,gluten free; entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
002,Tex Mex Burrito,Brown rice; avocado; corn; black beans; aged cheddar; salsa fresca; and greek yogurt ranch,Freshii,6.95,entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
003,Oaxaca Burrito,Brown rice; kale; avocado; beet slaw; black beans; corn; salsa fresca; crispy wontons; and spicy yogurt sauce,Freshii,7.69,vegan; entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
004,Oaxaca Bowl,Brown rice; kale; avocado; beet slaw; black beans; corn; salsa fresca; crispy wontons; and spicy yogurt sauce,Freshii,7.69,vegan; entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
005,Buddha's Satay Bowl,Rice noodles; broccoli; carrots; cabbage; green onions; cripsy wontons; and spicy peanut sauce,Freshii,6.65,entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
006,Buddha's Satay Burrito,Brown rice; broccoli; carrots; cabbage; green onions; cripsy wontons; and spicy peanut sauce,Freshii,6.65,entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
007,Smokehouse Bowl,Brown rice; aged cheddar; tomatoes; black beans; red onions; corn; and spicy yogurt sauce,Freshii,6.95,entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
008,Smokehouse Burrito,Brown rice; aged cheddar; tomatoes; black beans; red onions; corn; and spicy yogurt sauce,Freshii,6.95,entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
009,Teriyaki Twist Burrito,Brown rice; edamame; broccoli; carrots; green onions; crispy wontons; sesame seeds; and teriyaki sauce,Freshii,6.65,vegan; entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
010,Teriyaki Twist Bowl,Brown rice; edamame; broccoli; carrots; green onions; crispy wontons; sesame seeds; and teriyaki sauce,Freshii,6.65,vegan; entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
011,Pangoa Bowl,Brown rice; avocado; aged cheddar; tomatoes; black beans; corn; cilantro; and fiery bbq sauce,Freshii,7.69,entree; lunch; dinner,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
