ID Number,Name,Description,Store ,Price,Tags,Customizations
1,Tex Mex Bowl,Brown rice; avocado; corn; black beans; aged cheddar; salsa fresca; and greek yogurt ranch,Freshii,6.95,gluten free; entree; lunch; dinner; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
2,Tex Mex Burrito,Brown rice; avocado; corn; black beans; aged cheddar; salsa fresca; and greek yogurt ranch,Freshii,6.95,entree; lunch; dinner; burrito; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
3,Oaxaca Burrito,Brown rice; kale; avocado; beet slaw; black beans; corn; salsa fresca; crispy wontons; and spicy yogurt sauce,Freshii,7.69,vegan; entree; lunch; dinner; burrito; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
4,Oaxaca Bowl,Brown rice; kale; avocado; beet slaw; black beans; corn; salsa fresca; crispy wontons; and spicy yogurt sauce,Freshii,7.69,vegan; entree; lunch; dinner; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
5,Buddhas Satay Bowl,Rice noodles; broccoli; carrots; cabbage; green onions; cripsy wontons; and spicy peanut sauce,Freshii,6.65,entree; lunch; dinner; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
6,Buddhas Satay Burrito,Brown rice; broccoli; carrots; cabbage; green onions; cripsy wontons; and spicy peanut sauce,Freshii,6.65,entree; lunch; dinner; vegetarian; burrito,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
7,Smokehouse Bowl,Brown rice; aged cheddar; tomatoes; black beans; red onions; corn; and spicy yogurt sauce,Freshii,6.95,entree; lunch; dinner; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
8,Smokehouse Burrito,Brown rice; aged cheddar; tomatoes; black beans; red onions; corn; and spicy yogurt sauce,Freshii,6.95,entree; lunch; dinner; vegetarian; burrito,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
9,Teriyaki Twist Burrito,Brown rice; edamame; broccoli; carrots; green onions; crispy wontons; sesame seeds; and teriyaki sauce,Freshii,6.65,vegan; entree; lunch; dinner; vegetarian; burrito,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
10,Teriyaki Twist Bowl,Brown rice; edamame; broccoli; carrots; green onions; crispy wontons; sesame seeds; and teriyaki sauce,Freshii,6.65,vegan; entree; lunch; dinner; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
11,Pangoa Bowl,Brown rice; avocado; aged cheddar; tomatoes; black beans; corn; cilantro; and fiery bbq sauce,Freshii,7.69,entree; lunch; dinner; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
12,Pangoa Burrito,Brown rice; avocado; aged cheddar; tomatoes; black beans; corn; cilantro; and fiery bbq sauce,Freshii,7.69,entree; lunch; dinner; vegetarian; burrito,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
13,Bamboo Bowl,Brown rice; broccoli; mushrooms; carrots; cabbage; coconut; cilantro; and green curry sauce,Freshii,8.19,gluten free; entree; lunch; dinner; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
14,Bamboo Burrito,Brown rice; broccoli; mushrooms; carrots; cabbage; coconut; cilantro; and green curry sauce,Freshii,8.19,entree; lunch; dinner; vegetarian; burrito,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
15,Cob Salad,Field greens; hard boiled egg; avocado; bacon; aged cheddar; tomatoes; corn; and greek yogurt ranch,Freshii,8.49,entree; gluten free; lunch; dinner; salad; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
16,Cob Wrap,Field greens; hard boiled egg; avocado; bacon; aged cheddar; tomatoes; corn; and greek yogurt ranch,Freshii,7.99,entree; lunch; dinner; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
17,Fiesta Salad,Field greens; avocado; aged cheddar; corn; black beans; salsa fresca; and cilantro lime vinaigrette,Freshii,7.69,entree; gluten free; lunch; dinner; salad; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
18,Fiesta Wrap,Field greens; avocado; aged cheddar; corn; black beans; salsa fresca; and cilantro lime vinaigrette,Freshii,7.15,entree; lunch; dinner; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
19,Market Salad,Field greens; quinoa; feta cheese; dried cranberries; beet slaw; strawberries; carrots; and balsamic vinaigrette,Freshii,8.49,entree; gluten free; lunch; dinner; salad; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
20,Market Wrap,Field greens; quinoa; feta cheese; dried cranberries; beet slaw; strawberries; carrots; and balsamic vinaigrette,Freshii,7.99,entree; lunch; dinner; vegetarian,(Steak: 3.59); (Chicken: 2.35); (Falafel: 2.25); (Tofu: 2.25)
21,Spicy Lemongrass Soup,Your choice of broth; rice noodles; cabbage; carrots; tomatoes; mushrooms; and cilantro,Freshii,6.15,entree; gluten free; lunch; dinner; vegetarian,(Chicken broth: 0.00); (Vegetable broth: 0.00)
22,Reset Juice,Apple; pineapple; cucumber; and mint,Freshii,6.65,beverage; vegan; gluten free,
23,Green Genuis Juice,Green apple; spinach; kale; cellery; lemon; and ginger,Freshii,6.65,beverage; vegan; gluten free,
24,Renew Juice,Carrot; orange; lemon; and tumeric,Freshii,6.65,beverage; vegan; gluten free,
25,Recharge Juice,Carrot; apple; lemon; beet; and ginger,Freshii,6.65,beverage; vegan; gluten free,
26,Green Smoothie,Kale; spinach; pineapple; and avocado smoothie,Freshii,6.15,beverage; breakfast; smoothie,(Whey protein: 1.00)
27,Strawberry Banana Smoothie,Strawberry and banana smoothie,Freshii,6.15,beverage; breakfast; smoothie,(Whey protein: 1.00)
28,Plain Bagel,,Einstein Bros. Bagels,1.39,breakfast; bagel; vegetarian; entree,(Peanut butter: 1.60); (Peanut butter and jelly: 1.80); (Butter: 0.60); (Avocado: 1.00); (Plain shmear: 1.60); (Onion and chive shmear: 1.60); (Salmon shmear: 1.60); (Garden veggie shmear: 1.60); (Honey almond shmear: 1.60); (Strawberry shmear: 1.60); (Jalapeño salsa shmear: 1.60)
29,Everything Bagel,,Einstein Bros. Bagels,1.39,breakfast; bagel; vegetarian; entree,(Peanut butter: 1.60); (Peanut butter and jelly: 1.80); (Butter: 0.60); (Avocado: 1.00); (Plain shmear: 1.60); (Onion and chive shmear: 1.60); (Salmon shmear: 1.60); (Garden veggie shmear: 1.60); (Honey almond shmear: 1.60); (Strawberry shmear: 1.60); (Jalapeño salsa shmear: 1.60)
